"time","cprom","price","prom","share","prom_diff","rel_prom"
1990-12-24,1.079,0.4116,-1.201,40.02,-2.28,-1.113068
1990-12-31,1.013,0.3116,-1.196,40.22,-2.209,-1.180652
1991-01-07,0.827,0.1671,-1.211,40.53,-2.038,-1.464329
1991-01-14,0.5388,-0.03004,-1.258,41.36,-1.7968,-2.334818
1991-01-21,0.2153,-0.223,-1.271,41.65,-1.4863,-5.903391
1991-01-28,-0.08566,-0.3647,-1.2,42.06,-1.11434,14.00887
1991-02-04,-0.3463,-0.5157,-1.048,42.39,-0.7017,3.026278
1991-02-11,-0.5429,-0.6742,-0.8303,42.94,-0.2874,1.529379
1991-02-18,-0.6406,-0.7945,-0.4674,42.88,0.1732,0.7296285
1991-02-25,-0.6462,-0.8657,-0.108,43.06,0.5382,0.1671309
1991-03-04,-0.5968,-0.9095,0.3412,42.79,0.938,-0.5717158
1991-03-11,-0.5411,-0.8714,0.7458,42.97,1.2869,-1.378303
1991-03-18,-0.5139,-0.7866,1.047,42.71,1.5609,-2.037361
1991-03-25,-0.5279,-0.6809,1.342,42.82,1.8699,-2.542148
1991-04-01,-0.5911,-0.5306,1.618,42.5,2.2091,-2.737269
1991-04-08,-0.7087,-0.49,1.652,43.03,2.3607,-2.331029
1991-04-15,-0.8407,-0.508,1.613,42.95,2.4537,-1.918639
1991-04-22,-0.9349,-0.5476,1.325,42.85,2.2599,-1.417264
1991-04-29,-1.01,-0.668,1.079,43.02,2.089,-1.068317
1991-05-06,-1.065,-0.8562,0.7688,43.23,1.8338,-0.7218779
1991-05-13,-1.085,-1.055,0.399,43.13,1.484,-0.3677419
1991-05-20,-1.093,-1.23,-0.02494,43.17,1.06806,0.02281793
1991-05-27,-1.132,-1.452,-0.367,43.25,0.765,0.3242049
1991-06-03,-1.224,-1.588,-0.6647,43.61,0.5593,0.5430556
1991-06-10,-1.348,-1.662,-0.7769,43.82,0.5711,0.5763353
1991-06-17,-1.459,-1.655,-0.9572,43.78,0.5018,0.6560658
1991-06-24,-1.539,-1.61,-0.9939,43.97,0.5451,0.645809
1991-07-01,-1.555,-1.558,-1.049,43.62,0.506,0.6745981
1991-07-08,-1.504,-1.481,-1.063,43.89,0.441,0.7067819
1991-07-15,-1.37,-1.439,-1.113,43.5,0.257,0.8124088
1991-07-22,-1.141,-1.348,-1.153,43.27,-0.012,1.010517
1991-07-29,-0.8571,-1.307,-1.178,43.27,-0.3209,1.374402
1991-08-05,-0.5144,-1.311,-1.209,42.95,-0.6946,2.350311
1991-08-12,-0.134,-1.33,-1.209,42.66,-1.075,9.022388
1991-08-19,0.216,-1.391,-1.208,42.96,-1.424,-5.592593
1991-08-26,0.53,-1.372,-1.241,42.94,-1.771,-2.341509
1991-09-02,0.8421,-1.329,-1.272,42.74,-2.1141,-1.510509
1991-09-09,1.145,-1.317,-1.273,42.54,-2.418,-1.11179
1991-09-16,1.405,-1.28,-1.297,42.64,-2.702,-0.9231317
1991-09-23,1.623,-1.228,-1.292,42.46,-2.915,-0.7960567
1991-09-30,1.809,-1.178,-1.279,42.27,-3.088,-0.7070205
1991-10-07,1.932,-1.106,-1.128,42.38,-3.06,-0.5838509
1991-10-14,1.998,-1.071,-0.8355,42.45,-2.8335,-0.4181682
1991-10-21,2.033,-1.016,-0.4778,42.44,-2.5108,-0.2350221
1991-10-28,2.036,-0.8814,0.02844,42.29,-2.00756,0.01396857
1991-11-04,1.986,-0.7362,0.545,42.18,-1.441,0.2744209
1991-11-11,1.851,-0.6147,1.14,42.51,-0.711,0.6158833
1991-11-18,1.657,-0.4705,1.59,42.66,-0.067,0.9595655
1991-11-25,1.478,-0.2653,1.975,42.5,0.497,1.336265
1991-12-02,1.35,-0.08328,2.2,42.12,0.85,1.62963
1991-12-09,1.24,0.05209,2.387,42.05,1.147,1.925
1991-12-16,1.119,0.1315,2.442,42.26,1.323,2.182306
1991-12-23,1.056,0.2061,2.423,41.85,1.367,2.294508
